ID-echantillon;Nom.espece;ID.espece;Famille;Sol;Tolerance;Hyperaccu;Localisation;Climat;Culture;Population accronyme ;Pop accronyme
Mper_ech2;Microthlaspi perfoliatum;Mper;Brassicaceae;Non serpentinique;non;non;France;Prairie;hydroponic + ni;NA;NA
Mper_ech3;Microthlaspi perfoliatum;Mper;Brassicaceae;Non serpentinique;non;non;France;Prairie;hydroponic + ni;NA;NA
Ncfi_ech1;Noccaea caerulescens;Ncfi;Brassicaceae;Serpentinique;oui;oui;France;Prairie;env;NA;NA
Ncfi_ech2;Noccaea caerulescens;Ncfi;Brassicaceae;Serpentinique;oui;oui;France;Prairie;env;NA;NA
Nmon_ech1;Noccaea montana;Nmon;Brassicaceae;Serpentinique;oui;non;France;Prairie;env;NA;NA
Nmon_ech2;Noccaea montana;Nmon;Brassicaceae;Serpentinique;oui;non;France;Prairie;env;NA;NA
Pcle_ech1;Psychotria clementis;Pcle;Rubiaceae;Non serpentinique;non;non;Cuba;Foret;env;NA;NA
Pcle_ech2;Psychotria clementis;Pcle;Rubiaceae;Non serpentinique;non;non;Cuba;Foret;env;NA;NA
Pcos_ech1;Psychotria costivenia;Pcos;Rubiaceae;Serpentinique;oui;oui;Cuba;Foret;env;NA;NA
Pcos_ech2;Psychotria costivenia;Pcos;Rubiaceae;Serpentinique;oui;oui;Cuba;Foret;env;NA;NA
Pgab_ech1;Psychotria gabriellae;Pgab;Rubiaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Foret;env;NA;NA
Pgab_ech2;Psychotria gabriellae;Pgab;Rubiaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Foret;env;NA;NA
Pgab_ech3;Psychotria gabriellae;Pgab;Rubiaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Foret;env;NA;NA
Pgra_ech1;Psychotria grandis;Pgra;Rubiaceae;Serpentinique;oui;oui;Cuba;Foret;env;NA;NA
Pgra_ech2;Psychotria grandis;Pgra;Rubiaceae;Serpentinique;oui;oui;Cuba;Foret;env;NA;NA
Phco_ech1;Phyllanthus conjugatus;Phco;Phyllanthaceae;Non serpentinique;non;non;Nouvelle Caledonie;Sec;env;NA;NA
Phco_ech2;Phyllanthus conjugatus;Phco;Phyllanthaceae;Non serpentinique;non;non;Nouvelle Caledonie;Sec;env;NA;NA
Phco_ech3;Phyllanthus conjugatus;Phco;Phyllanthaceae;Non serpentinique;non;non;Nouvelle Caledonie;Sec;env;NA;NA
Pluc_ech1;Phyllanthus lucilliae;Pluc;Phyllanthaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Sec;env;NA;NA
Pluc_ech2;Phyllanthus lucilliae;Pluc;Phyllanthaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Sec;env;NA;NA
Pluc_ech3;Phyllanthus lucilliae;Pluc;Phyllanthaceae;Serpentinique;oui;oui;Nouvelle Caledonie;Sec;env;NA;NA
Psem_ech1;Psychotria semperflorens;Psem;Rubiaceae;Serpentinique;oui;non;Nouvelle Caledonie;Foret;env;NA;NA
Psem_ech2;Psychotria semperflorens;Psem;Rubiaceae;Serpentinique;oui;non;Nouvelle Caledonie;Foret;env;NA;NA
Psem_ech3;Psychotria semperflorens;Psem;Rubiaceae;Serpentinique;oui;non;Nouvelle Caledonie;Foret;env;NA;NA
ScorA_ech2;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;oui;Afrique du sud;NA;env;AM;Agnes Mine
ScorA_ech3;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;oui;Afrique du sud;NA;env;AM;Agnes Mine
ScorB_ech1;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;non;Afrique du sud;NA;env;GAL;Galaxy Mine
ScorB_ech2;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;non;Afrique du sud;NA;env;GAL;Galaxy Mine
ScorB_ech3;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;non;Afrique du sud;NA;env;GAL;Galaxy Mine
ScorC_ech1;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;oui;Afrique du sud;NA;env;KP;Kaapsehoop
ScorC_ech2;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;oui;Afrique du sud;NA;env;KP;Kaapsehoop
ScorC_ech3;Senocio coronatus;Scor;Asteraceae;Serpentinique;NA;oui;Afrique du sud;NA;env;KP;Kaapsehoop
ScorD_ech1;Senocio coronatus;Scor;Asteraceae;Non serpentinique;NA;non;Afrique du sud;NA;env;PF;Pullen Farm
ScorD_ech2;Senocio coronatus;Scor;Asteraceae;Non serpentinique;NA;non;Afrique du sud;NA;env;PF;Pullen Farm
ScorD_ech3;Senocio coronatus;Scor;Asteraceae;Non serpentinique;NA;non;Afrique du sud;NA;env;PF;Pullen Farm
